time/total_timesteps,rollout/ep_len_mean,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss
25,25.0,1,1,2945.0,15,,,,,,
50,25.0,2,1,3099.5,29,1995089.75,1,3177.51171875,1.0,7e-05,0.0
75,25.0,3,1,3105.0,46,60218.65625,26,398.5409240722656,1.0013453960418701,7e-05,0.2674381732940674
100,25.0,4,1,2935.0,62,115818.328125,51,-305.4765319824219,1.0008869171142578,7e-05,0.7891455292701721
125,25.0,5,1,3449.0,85,105925.8828125,76,-368.6678466796875,0.9993821978569031,7e-05,-0.5719950795173645
150,25.0,6,1,3426.0,101,91749.390625,101,-411.91748046875,0.9977070689201355,7e-05,-2.1426169872283936
175,25.0,7,1,3380.0,118,58440.4765625,126,-488.4024353027344,0.9960026741027832,7e-05,-3.7400882244110107
200,25.0,8,1,3349.625,135,11581.3408203125,151,-610.8197021484375,0.9942915439605713,7e-05,-5.3587117195129395
225,25.0,9,1,3356.222222222222,152,14808.47265625,176,-692.0631713867188,0.9925768971443176,7e-05,-6.9550089836120605
250,25.0,10,1,3333.3,171,6667.81298828125,201,-695.5838012695312,0.9908617734909058,7e-05,-8.58052921295166
275,25.0,11,1,3355.2727272727275,189,9593.9521484375,226,-711.991455078125,0.9891459941864014,7e-05,-10.199701309204102
300,25.0,12,1,3360.6666666666665,204,11816.6875,251,-734.1183471679688,0.9874314665794373,7e-05,-11.819470405578613
325,25.0,13,1,3292.6923076923076,215,16828.822265625,276,-722.0308227539062,0.9857184290885925,7e-05,-13.423945426940918
350,25.0,14,1,3247.0,230,5512.54345703125,301,-754.1272583007812,0.9840067028999329,7e-05,-15.066153526306152
375,25.0,15,1,3283.2,246,6763.21484375,326,-734.06591796875,0.9822970032691956,7e-05,-16.716886520385742
